     Epoch[2] Iteration[40/620], entropy: 0.1802, loss: 0.1802, lr: 0.00e+00
     Epoch[2] Iteration[50/620], entropy: 0.2032, loss: 0.2032, lr: 3.45e-04
     Epoch[2] Iteration[60/620], entropy: 0.3745, loss: 0.3745, lr: 9.05e-04
     Epoch[2] Iteration[70/620], entropy: 0.3124, loss: 0.3124, lr: 9.05e-04
     Epoch[2] Iteration[80/620], entropy: 0.3300, loss: 0.3300, lr: 3.45e-04
     Epoch[2] Iteration[90/620], entropy: 0.2014, loss: 0.2014, lr: 0.00e+00
     Epoch[2] Iteration[100/620], entropy: 0.2667, loss: 0.2667, lr: 3.45e-04
     Epoch[2] Iteration[110/620], entropy: 0.1890, loss: 0.1890, lr: 9.05e-04
     Epoch[2] Iteration[120/620], entropy: 0.3079, loss: 0.3079, lr: 9.05e-04
     Epoch[2] Iteration[130/620], entropy: 0.2499, loss: 0.2499, lr: 3.45e-04
     Epoch[2] Iteration[140/620], entropy: 0.2599, loss: 0.2599, lr: 0.00e+00
     Epoch[2] Iteration[150/620], entropy: 0.3424, loss: 0.3424, lr: 3.45e-04
     Epoch[2] Iteration[160/620], entropy: 0.2268, loss: 0.2268, lr: 9.05e-04
     Epoch[2] Iteration[170/620], entropy: 0.3280, loss: 0.3280, lr: 9.05e-04
     Epoch[2] Iteration[180/620], entropy: 0.3085, loss: 0.3085, lr: 3.45e-04
     Epoch[2] Iteration[190/620], entropy: 0.3580, loss: 0.3580, lr: 0.00e+00
     Epoch[2] Iteration[200/620], entropy: 0.2585, loss: 0.2585, lr: 3.45e-04
     Epoch[2] Iteration[210/620], entropy: 0.1846, loss: 0.1846, lr: 9.05e-04
     Epoch[2] Iteration[220/620], entropy: 0.3116, loss: 0.3116, lr: 9.05e-04
     Epoch[2] Iteration[230/620], entropy: 0.2693, loss: 0.2693, lr: 3.45e-04
     Epoch[2] Iteration[240/620], entropy: 0.3114, loss: 0.3114, lr: 0.00e+00
     Epoch[2] Iteration[250/620], entropy: 0.3375, loss: 0.3375, lr: 3.45e-04
     Epoch[2] Iteration[260/620], entropy: 0.1513, loss: 0.1513, lr: 9.05e-04
     Epoch[2] Iteration[270/620], entropy: 0.2381, loss: 0.2381, lr: 9.05e-04
     Epoch[2] Iteration[280/620], entropy: 0.2470, loss: 0.2470, lr: 3.45e-04
     Epoch[2] Iteration[290/620], entropy: 0.3135, loss: 0.3135, lr: 0.00e+00
     Epoch[2] Iteration[300/620], entropy: 0.2492, loss: 0.2492, lr: 3.45e-04
     Epoch[2] Iteration[310/620], entropy: 0.2601, loss: 0.2601, lr: 9.05e-04
     Epoch[2] Iteration[320/620], entropy: 0.3102, loss: 0.3102, lr: 9.05e-04
     Epoch[2] Iteration[330/620], entropy: 0.2697, loss: 0.2697, lr: 3.45e-04
     Epoch[2] Iteration[340/620], entropy: 0.3214, loss: 0.3214, lr: 0.00e+00
     Epoch[2] Iteration[350/620], entropy: 0.2351, loss: 0.2351, lr: 3.45e-04
     Epoch[2] Iteration[360/620], entropy: 0.2190, loss: 0.2190, lr: 9.05e-04
     Epoch[2] Iteration[370/620], entropy: 0.3076, loss: 0.3076, lr: 9.05e-04
     Epoch[2] Iteration[380/620], entropy: 0.3151, loss: 0.3151, lr: 3.45e-04
     Epoch[2] Iteration[390/620], entropy: 0.2439, loss: 0.2439, lr: 0.00e+00
     Epoch[2] Iteration[400/620], entropy: 0.2552, loss: 0.2552, lr: 3.45e-04
     Epoch[2] Iteration[410/620], entropy: 0.2077, loss: 0.2077, lr: 9.05e-04
     Epoch[2] Iteration[420/620], entropy: 0.2643, loss: 0.2643, lr: 9.05e-04
     Epoch[2] Iteration[430/620], entropy: 0.2167, loss: 0.2167, lr: 3.45e-04
     Epoch[2] Iteration[440/620], entropy: 0.3269, loss: 0.3269, lr: 0.00e+00
     Epoch[2] Iteration[450/620], entropy: 0.2019, loss: 0.2019, lr: 3.45e-04
     Epoch[2] Iteration[460/620], entropy: 0.2874, loss: 0.2874, lr: 9.05e-04
     Epoch[2] Iteration[470/620], entropy: 0.2322, loss: 0.2322, lr: 9.05e-04
